model,checkpoint_sha256,split_hash,filename,mse,cc,sim
center,not_applicable,7ad21b6a799f,COCO_val2014_000000021503.jpg,0.04706854745745659,0.7352702617645264,0.7737992405891418
center,not_applicable,7ad21b6a799f,COCO_val2014_000000021639.jpg,0.09672429412603378,0.6952399611473083,0.6108625531196594
center,not_applicable,7ad21b6a799f,COCO_val2014_000000021971.jpg,0.10324468463659286,0.4230809509754181,0.5658616423606873
center,not_applicable,7ad21b6a799f,COCO_val2014_000000021979.jpg,0.10467620193958282,0.7261800169944763,0.6210486888885498
center,not_applicable,7ad21b6a799f,COCO_val2014_000000022072.jpg,0.064851775765419,0.819503664970398,0.685663104057312
center,not_applicable,7ad21b6a799f,COCO_val2014_000000022118.jpg,0.12484787404537201,0.4754987955093384,0.4763684868812561
center,not_applicable,7ad21b6a799f,COCO_val2014_000000022129.jpg,0.1329817771911621,0.26654747128486633,0.4739326536655426
center,not_applicable,7ad21b6a799f,COCO_val2014_000000022158.jpg,0.056375615298748016,0.6698137521743774,0.7308108806610107
center,not_applicable,7ad21b6a799f,COCO_val2014_000000022199.jpg,0.13067126274108887,0.4787328541278839,0.4671371281147003
center,not_applicable,7ad21b6a799f,COCO_val2014_000000022271.jpg,0.08600381761789322,0.587506115436554,0.6736425757408142
center,not_applicable,7ad21b6a799f,COCO_val2014_000000022446.jpg,0.06871172785758972,0.6396127939224243,0.6644296646118164
center,not_applicable,7ad21b6a799f,COCO_val2014_000000022474.jpg,0.09301934391260147,0.7744987607002258,0.49311715364456177
center,not_applicable,7ad21b6a799f,COCO_val2014_000000022671.jpg,0.15069422125816345,0.32798975706100464,0.32363972067832947
center,not_applicable,7ad21b6a799f,COCO_val2014_000000023121.jpg,0.16270987689495087,0.2640201151371002,0.2659168541431427
center,not_applicable,7ad21b6a799f,COCO_val2014_000000023320.jpg,0.07204606384038925,0.7033779621124268,0.6661058664321899
center,not_applicable,7ad21b6a799f,COCO_val2014_000000023807.jpg,0.11251325905323029,0.635994553565979,0.4568026065826416
center,not_applicable,7ad21b6a799f,COCO_val2014_000000024061.jpg,0.09936700016260147,0.6192981004714966,0.6001986265182495
center,not_applicable,7ad21b6a799f,COCO_val2014_000000024112.jpg,0.14297707378864288,0.46989649534225464,0.4203525185585022
center,not_applicable,7ad21b6a799f,COCO_val2014_000000024223.jpg,0.022649994120001793,0.876610279083252,0.8157469034194946
center,not_applicable,7ad21b6a799f,COCO_val2014_000000024243.jpg,0.16430434584617615,0.21139125525951385,0.25780123472213745
center,not_applicable,7ad21b6a799f,COCO_val2014_000000024396.jpg,0.11396565288305283,0.512008011341095,0.5860759019851685
center,not_applicable,7ad21b6a799f,COCO_val2014_000000024553.jpg,0.13177886605262756,0.48271438479423523,0.45455747842788696
center,not_applicable,7ad21b6a799f,COCO_val2014_000000024610.jpg,0.10992080718278885,0.39539799094200134,0.504833996295929
center,not_applicable,7ad21b6a799f,COCO_val2014_000000024693.jpg,0.05832914635539055,0.7480453252792358,0.7262126803398132
center,not_applicable,7ad21b6a799f,COCO_val2014_000000024880.jpg,0.06333866715431213,0.7037279605865479,0.709867537021637
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025123.jpg,0.10933008044958115,0.6807059645652771,0.5321975946426392
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025282.jpg,0.14497491717338562,0.30246931314468384,0.48228543996810913
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025393.jpg,0.15577512979507446,0.33116862177848816,0.3119315207004547
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025521.jpg,0.08014745265245438,0.7267234325408936,0.6071349382400513
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025560.jpg,0.1053212508559227,0.6278034448623657,0.5667738318443298
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025595.jpg,0.1167793869972229,0.5073531866073608,0.48942768573760986
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025603.jpg,0.15580682456493378,0.2754882574081421,0.3543224334716797
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025853.jpg,0.07435500621795654,0.6122206449508667,0.6646654605865479
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025860.jpg,0.16623038053512573,0.0956600233912468,0.28532686829566956
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025986.jpg,0.08649270236492157,0.5016513466835022,0.6563884019851685
center,not_applicable,7ad21b6a799f,COCO_val2014_000000025997.jpg,0.1407359093427658,0.5298478603363037,0.4254864752292633
center,not_applicable,7ad21b6a799f,COCO_val2014_000000026363.jpg,0.1154174953699112,0.5453256368637085,0.46654850244522095
center,not_applicable,7ad21b6a799f,COCO_val2014_000000026611.jpg,0.03713064268231392,0.7743300199508667,0.7649905681610107
center,not_applicable,7ad21b6a799f,COCO_val2014_000000026730.jpg,0.10232074558734894,0.694590151309967,0.5657885074615479
center,not_applicable,7ad21b6a799f,COCO_val2014_000000026768.jpg,0.13935160636901855,0.5151584148406982,0.4963091015815735
center,not_applicable,7ad21b6a799f,COCO_val2014_000000026992.jpg,0.0961342602968216,0.6932294368743896,0.6054112315177917
center,not_applicable,7ad21b6a799f,COCO_val2014_000000027493.jpg,0.06648945808410645,0.7056072354316711,0.6658225059509277
center,not_applicable,7ad21b6a799f,COCO_val2014_000000027519.jpg,0.12353510409593582,0.3972604274749756,0.49875015020370483
center,not_applicable,7ad21b6a799f,COCO_val2014_000000027578.jpg,0.13706396520137787,0.45649832487106323,0.4145868420600891
center,not_applicable,7ad21b6a799f,COCO_val2014_000000027620.jpg,0.11261972784996033,0.5397953987121582,0.5878998041152954
